question,entities_for_tables,entities_for_columns,query,tables,entities
List all location codes and location names.,['location'],"['codes', 'names']","SELECT location_code ,  location_name FROM Ref_locations",['Ref_locations'],"['location', 'codes', 'names']"
What are all the location codes and location names?,['location'],"['codes', 'names']","SELECT location_code ,  location_name FROM Ref_locations",['Ref_locations'],"['location', 'codes', 'names']"
What are the name and description for location code x?,['location'],"['name', 'description', 'code']","SELECT location_name ,  location_description FROM Ref_locations WHERE location_code  =  ""x""",['Ref_locations'],"['location', 'name', 'description', 'code']"
Give me the name and description of the location with code x.,['location'],"['name', 'description', 'code']","SELECT location_name ,  location_description FROM Ref_locations WHERE location_code  =  ""x""",['Ref_locations'],"['location', 'name', 'description', 'code']"
"What is the location code for the country ""Canada""?",['country'],"['location code', 'Canada']","SELECT location_code FROM Ref_locations WHERE location_name  =  ""Canada""",['Ref_locations'],"['country', 'location code', 'Canada']"
"Show the location code of the country ""Canada"".",['country'],"['location code', 'Canada']","SELECT location_code FROM Ref_locations WHERE location_name  =  ""Canada""",['Ref_locations'],"['country', 'location code', 'Canada']"
How many roles are there?,['roles'],['count'],SELECT count(*) FROM ROLES,['ROLES'],"['roles', 'count']"
Count the total number of roles listed.,['roles'],[],SELECT count(*) FROM ROLES,['ROLES'],['roles']
"List all role codes, role names, and role descriptions.",['role'],"['code', 'name', 'description']","SELECT role_code ,  role_name ,  role_description FROM ROLES",['ROLES'],"['role', 'code', 'name', 'description']"
"What are all the role codes, role names, and role descriptions?",['role'],"['code', 'name', 'description']","SELECT role_code ,  role_name ,  role_description FROM ROLES",['ROLES'],"['role', 'code', 'name', 'description']"
"What are the name and description for role code ""MG""?",['role'],"['name', 'description', 'code']","SELECT role_name ,  role_description FROM ROLES WHERE role_code  =  ""MG""",['ROLES'],"['role', 'name', 'description', 'code']"
"Find the name and description of the role with code ""MG"".",['role'],"['name', 'description', 'code']","SELECT role_name ,  role_description FROM ROLES WHERE role_code  =  ""MG""",['ROLES'],"['role', 'name', 'description', 'code']"
"Show the description for role name ""Proof Reader"".",['role'],"['description', 'role name']","SELECT role_description FROM ROLES WHERE role_name  =  ""Proof Reader""",['ROLES'],"['role', 'description', 'role name']"
"What is the description of the role named ""Proof Reader""?",['role'],"['description', 'name']","SELECT role_description FROM ROLES WHERE role_name  =  ""Proof Reader""",['ROLES'],"['role', 'description', 'name']"
How many employees do we have?,['employees'],['count'],SELECT count(*) FROM Employees,['Employees'],"['employees', 'count']"
Find the number of employees we have.,['employees'],['number'],SELECT count(*) FROM Employees,['Employees'],"['employees', 'number']"
"Show the name, role code, and date of birth for the employee with name 'Armani'.",['employee'],"['name', 'role code', 'date of birth']","SELECT employee_name ,  role_code ,  date_of_birth FROM Employees WHERE employee_Name  =  'Armani'",['Employees'],"['employee', 'name', 'role code', 'date of birth']"
"What are the name, role code, and date of birth of the employee named 'Armani'?",['employee'],"['name', 'role code', 'date of birth']","SELECT employee_name ,  role_code ,  date_of_birth FROM Employees WHERE employee_Name  =  'Armani'",['Employees'],"['employee', 'name', 'role code', 'date of birth']"
What is the id for the employee called Ebba?,['employee'],"['id', 'name']","SELECT employee_ID FROM Employees WHERE employee_name  =  ""Ebba""",['Employees'],"['employee', 'id', 'name']"
Show the id of the employee named Ebba.,['employee'],"['id', 'name']","SELECT employee_ID FROM Employees WHERE employee_name  =  ""Ebba""",['Employees'],"['employee', 'id', 'name']"
"Show the names of all the employees with role ""HR"".",['employees'],"['names', 'role']","SELECT employee_name FROM Employees WHERE role_code  =  ""HR""",['Employees'],"['employees', 'names', 'role']"
"Which employees have the role with code ""HR""? Find their names.",['employees'],"['role', 'code', 'names']","SELECT employee_name FROM Employees WHERE role_code  =  ""HR""",['Employees'],"['employees', 'role', 'code', 'names']"
Show all role codes and the number of employees in each role.,['employees'],"['role codes', 'number of employees', 'role']","SELECT role_code ,  count(*) FROM Employees GROUP BY role_code",['Employees'],"['employees', 'role codes', 'number of employees', 'role']"
What is the code of each role and the number of employees in each role?,"['role', 'employees']","['code', 'number of employees']","SELECT role_code ,  count(*) FROM Employees GROUP BY role_code",['Employees'],"['role', 'employees', 'code', 'number of employees']"
What is the role code with the largest number of employees?,['employees'],"['role code', 'number of employees']",SELECT role_code FROM Employees GROUP BY role_code ORDER BY count(*) DESC LIMIT 1,['Employees'],"['employees', 'role code', 'number of employees']"
Find the code of the role that have the most employees.,"['role', 'employees']","['code', 'role']",SELECT role_code FROM Employees GROUP BY role_code ORDER BY count(*) DESC LIMIT 1,['Employees'],"['role', 'employees', 'code', 'role']"
Show all role codes with at least 3 employees.,['employees'],['role codes'],SELECT role_code FROM Employees GROUP BY role_code HAVING count(*)  >=  3,['Employees'],"['employees', 'role codes']"
What are the roles with three or more employees? Give me the role codes.,"['roles', 'employees']",['role codes'],SELECT role_code FROM Employees GROUP BY role_code HAVING count(*)  >=  3,['Employees'],"['roles', 'employees', 'role codes']"
Show the role code with the least employees.,['employees'],['role code'],SELECT role_code FROM Employees GROUP BY role_code ORDER BY count(*) ASC LIMIT 1,['Employees'],"['employees', 'role code']"
What is the role with the smallest number of employees? Find the role codes.,"['role', 'employees']","['role', 'number of employees', 'role codes']",SELECT role_code FROM Employees GROUP BY role_code ORDER BY count(*) ASC LIMIT 1,['Employees'],"['role', 'employees', 'role', 'number of employees', 'role codes']"
What is the role name and role description for employee called Ebba?,['employee'],"['role name', 'role description', 'employee']","SELECT T2.role_name ,  T2.role_description FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T1.employee_name  =  ""Ebba""","['Employees', 'ROLES']","['employee', 'role name', 'role description', 'employee']"
Show the name and description of the role played by the employee named Ebba.,"['employee', 'role']","['name', 'description', 'Ebba']","SELECT T2.role_name ,  T2.role_description FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T1.employee_name  =  ""Ebba""","['Employees', 'ROLES']","['employee', 'role', 'name', 'description', 'Ebba']"
Show the names of employees with role name Editor.,['employees'],"['names', 'role name']","SELECT T1.employee_name FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T2.role_name  =  ""Editor""","['Employees', 'ROLES']","['employees', 'names', 'role name']"
"Find the names of all the employees whose the role name is ""Editor"".",['employees'],"['names', 'role name']","SELECT T1.employee_name FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T2.role_name  =  ""Editor""","['Employees', 'ROLES']","['employees', 'names', 'role name']"
"Show the employee ids for all employees with role name ""Human Resource"" or ""Manager"".",['employees'],"['employee ids', 'role name']","SELECT T1.employee_id FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T2.role_name  =  ""Human Resource"" OR T2.role_name  =  ""Manager""","['Employees', 'ROLES']","['employees', 'employee ids', 'role name']"
"What are the employee ids of the employees whose role name is ""Human Resource"" or ""Manager""?",['employees'],"['employee ids', 'role name']","SELECT T1.employee_id FROM Employees AS T1 JOIN ROLES AS T2 ON T1.role_code  =  T2.role_code WHERE T2.role_name  =  ""Human Resource"" OR T2.role_name  =  ""Manager""","['Employees', 'ROLES']","['employees', 'employee ids', 'role name']"
What are the different location codes for documents?,['documents'],['location codes'],SELECT DISTINCT location_code FROM Document_locations,['Document_locations'],"['documents', 'location codes']"
Give me all the distinct location codes for documents.,['documents'],['location codes'],SELECT DISTINCT location_code FROM Document_locations,['Document_locations'],"['documents', 'location codes']"
"Show the location name for document ""Robin CV"".",['document'],"['location name', 'Robin CV']","SELECT T3.location_name FROM All_documents AS T1 JOIN Document_locations AS T2 ON T1.document_id  =  T2.document_id JOIN Ref_locations AS T3 ON T2.location_code  =  T3.location_code WHERE T1.document_name  =  ""Robin CV""","['All_documents', 'Document_locations', 'Ref_locations']","['document', 'location name', 'Robin CV']"
"What is the location name of the document ""Robin CV""?",['document'],"['location name', 'Robin CV']","SELECT T3.location_name FROM All_documents AS T1 JOIN Document_locations AS T2 ON T1.document_id  =  T2.document_id JOIN Ref_locations AS T3 ON T2.location_code  =  T3.location_code WHERE T1.document_name  =  ""Robin CV""","['All_documents', 'Document_locations', 'Ref_locations']","['document', 'location name', 'Robin CV']"
"Show the location code, the starting date and ending data in that location for all the documents.",['documents'],"['location code', 'starting date', 'ending date']","SELECT location_code ,  date_in_location_from ,  date_in_locaton_to FROM Document_locations",['Document_locations'],"['documents', 'location code', 'starting date', 'ending date']"
"What are each document's location code, and starting date and ending data in that location?",['document'],"['location code', 'starting date', 'ending date']","SELECT location_code ,  date_in_location_from ,  date_in_locaton_to FROM Document_locations",['Document_locations'],"['document', 'location code', 'starting date', 'ending date']"
"What is ""the date in location from"" and ""the date in location to"" for the document with name ""Robin CV""?",['document'],"['date', 'location', 'name']","SELECT T1.date_in_location_from ,  T1.date_in_locaton_to FROM Document_locations AS T1 JOIN All_documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.document_name  =  ""Robin CV""","['All_documents', 'Document_locations']","['document', 'date', 'location', 'name']"
"Find the starting date and ending data in location for the document named ""Robin CV"".",['document'],"['starting date', 'ending data', 'location', 'name']","SELECT T1.date_in_location_from ,  T1.date_in_locaton_to FROM Document_locations AS T1 JOIN All_documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.document_name  =  ""Robin CV""","['All_documents', 'Document_locations']","['document', 'starting date', 'ending data', 'location', 'name']"
Show the location codes and the number of documents in each location.,"['location', 'documents']","['location codes', 'number of documents']","SELECT location_code ,  count(*) FROM Document_locations GROUP BY location_code",['Document_locations'],"['location', 'documents', 'location codes', 'number of documents']"
What is the code of each location and the number of documents in that location?,"['location', 'documents']","['code', 'number']","SELECT location_code ,  count(*) FROM Document_locations GROUP BY location_code",['Document_locations'],"['location', 'documents', 'code', 'number']"
What is the location code with the most documents?,"['documents', 'location']","['location code', 'count']",SELECT location_code FROM Document_locations GROUP BY location_code ORDER BY count(*) DESC LIMIT 1,['Document_locations'],"['documents', 'location', 'location code', 'count']"
